task_id,milestone,title,depends_on,parallel_wave,primary_agent,primary_model,primary_reasoning,spec_reviewer_model,spec_reviewer_reasoning,security_reviewer_model,security_reviewer_reasoning,files_owned,verification_summary,commit_message
P1-01,M0 — Program bootstrap,Characterize the existing real Nautilus path and the pinned upstream API,P1-00,8,Repository Cartographer + Nautilus API Researcher,gpt-5.6-terra,high,gpt-5.6-sol,high,gpt-5.6-sol,high,docs/implementation/p1-real-nautilus/current-runtime-characterization.md; docs/implementation/p1-real-nautilus/upstream-api-map.md; tests/p1_nautilus/test_existing_runtime_characterization.py,"Characterization test proves the existing launcher still imports and runs real `BacktestEngine` rather than the Decimal oracle.; Callback probe output is canonical, bounded, and stored only as a test golden fixture.; API map includes version, release commit, Python ABI, and every symbol P1 plans to call.; Upgrade-specific: Treat P1-U01/P1-U05 as accepted upstream authority. Re-characterize only the exact P1 product path, and fail if implementation tries to bypass the generated direct API contract. Record runtime family `cython-v1`, engine version 1.231.0, upstream commit, promoted schema-7 baseline digest and target schema-8 P1 product lineage in every characterization packet. Include a forward seam map for a future `runtime_v2` implementation, but do not import, install or execute v2 in P1.",test(p1): characterize pinned Nautilus runtime APIs
P1-02,M0 — Program bootstrap,"Lock architecture, threat model, ownership boundaries, and growth budgets","P1-00, P1-01",8,Architecture Lead,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,docs/adr/ADR-P1-REAL-NAUTILUS-VERTICAL-SLICE.md; docs/implementation/p1-real-nautilus/threat-model.md; docs/implementation/p1-real-nautilus/module-ownership.md; docs/implementation/p1-real-nautilus/growth-budget.json; scripts/check_p1_nautilus_boundaries.py; tests/governance/test_p1_nautilus_boundaries.py,"Boundary checker fails on seeded forbidden imports and duplicate profile definitions.; Boundary checker fails when old launcher bytes grow.; Boundary checker allows tests and explicitly approved upstream characterization fixtures without granting runtime authority.; Upgrade-specific: Add a version-family boundary: `runtime_v1` may implement the engine-neutral session interface, while future `runtime_v2` must be a separate package and closure. Mixed v1/v2 imports in one process are forbidden. Make the final-v1 support posture explicit: P1 ships on 1.231.0, but no new generic contract may expose a Cython-specific object or identifier.",arch(p1): lock real Nautilus module boundaries
P1-03,M1 — Contracts,Define strict P1 backtest input artifact contracts,P1-02,9,Contract Engineer,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,gpt-5.6-sol,high,packages/nautilus_runtime_contracts/__init__.py; packages/nautilus_runtime_contracts/artifacts.py; packages/nautilus_runtime_contracts/versions.py; tests/nautilus_runtime_contracts/test_artifacts.py; tests/fixtures/p1_nautilus/contracts/**,"Write failing tests first for every unknown field, duplicate, invalid decimal, negative target, oversized weight, unsupported venue/account/product, wrong digest, timeframe mismatch, and timestamp-window violation.; Golden canonical JSON round-trips byte-identically.; Generated JSON Schema contains closed enums and canonical decimal constraints.; Upgrade-specific: Make engine state persistence explicit in the artifact contract: `load_state=false`, `save_state=false`, `run_analysis=false`, logging bypass, and no dynamic `shutdown_on_error` capability probing.",feat(p1): define real Nautilus artifact contracts
P1-04,M1 — Contracts,"Define the P1 engine event vocabulary, state machine, and semantic digest",P1-02,9,Event Protocol Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,packages/nautilus_runtime_contracts/events.py; packages/nautilus_runtime_contracts/semantic.py; packages/nautilus_runtime_contracts/state_machine.py; tests/nautilus_runtime_contracts/test_events.py; tests/nautilus_runtime_contracts/test_semantic_projection.py,"State-machine tests reject every illegal transition, sequence gap, post-completion event, duplicate completion, and incompatible final counters.; Semantic digest is stable across different run IDs/custody timestamps but changes for price, quantity, fee, target, data digest, or event-order changes.; Event schemas reject floats, NaN/Infinity text, unknown attributes, and unbounded identifiers.; Upgrade-specific: Bind engine lineage without making custody noise part of semantic equivalence: run-start/completion metadata must expose runtime family, exact engine version, upstream commit and closure digest, while semantic digest rules remain explicit.",feat(p1): define canonical Nautilus event stream
P1-05,M1 — Contracts,Generate a stdlib-only sealed protocol module and golden fixtures,"P1-03, P1-04",10,Code Generation Engineer,gpt-5.6-terra,high,gpt-5.6-sol,high,gpt-5.6-sol,high,scripts/generate_nautilus_p1_protocol.py; engines/nautilus/runtime_v1/generated_protocol.py; schemas/nautilus-p1-*.schema.json; tests/contracts/test_generate_nautilus_p1_protocol.py; tests/fixtures/p1_nautilus/golden/**; Makefile,First change a source constant and prove `--check` fails.; Run generator twice and assert byte-identical output.; Import generated module under isolated `python3.12 -I -S` with only stdlib available.; Golden negative fixtures fail in both root models and generated validator with the same stable error code class.,build(p1): generate sealed Nautilus protocol
P1-06,M2 — Isolated runtime,Scaffold the modular sealed runtime and closed CLI,P1-05,11,Runtime Isolation Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/__init__.py; engines/nautilus/runtime_v1/main.py; engines/nautilus/runtime_v1/bootstrap.py; engines/nautilus/runtime_v1/diagnostics.py; tests/p1_nautilus/test_runtime_bootstrap.py; tests/p1_nautilus/test_runtime_cli_source.py,"CLI rejects extra args, env-based overrides, unisolated Python, wrong entrypoint, non-regular request/sidecar, malformed digest, and stdout contamination.; Error messages remain bounded and path-free.; Boundary checker confirms no root import and no network/client modules.; Upgrade-specific: The bootstrap must assert `nautilus_trader.__version__ == '1.231.0'` (or the exact supported equivalent) and exact schema-8 P1 product lineage before importing product modules.",feat(p1): scaffold sealed Nautilus runtime
P1-07,M2 — Isolated runtime,Implement descriptor-safe request and artifact loading,"P1-05, P1-06",11,Runtime Security Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/input_loader.py; tests/p1_nautilus/test_input_loader.py; tests/p1_nautilus/test_input_loader_adversarial.py,"Adversarial tests cover symlinks, FIFO/device, hardlink count, inode replacement, truncation, oversized file, digest mismatch, duplicate JSON keys, Unicode confusables, and TOCTOU swaps.; Each failure produces nonzero exit and no stdout.; Positive fixture yields identical immutable values across repeated reads.",feat(p1): seal runtime input loading
P1-08,M2 — Isolated runtime,Build catalog-driven Nautilus currencies and instrument,"P1-01, P1-03, P1-05, P1-06",11,Nautilus Adapter Engineer,gpt-5.6-sol,high,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/instrument_factory.py; tests/p1_nautilus/test_instrument_factory_source.py; tests/p1_nautilus/test_instrument_factory_native.py; docs/implementation/p1-upstream-provenance.md,"Native test proves the resulting ID is exactly `BTCUSDT.BINANCE` and fields match the catalog.; Reject wrong currency precision, zero/negative increments, min/max inconsistency, unsupported product, unknown currency, over-precision, and values outside Nautilus range.; Source test proves `nautilus_trader.test_kit` is absent from `runtime_v1`.; Upgrade-specific: Use the v1.231 API contract and regression fixtures. Add a re-registration negative test so duplicate/generated-ID behavior cannot leak into product runtime assembly.",feat(p1): construct Nautilus instrument from catalog
P1-09,M2 — Isolated runtime,Implement deterministic QuoteTick/Bar market-data conversion,"P1-03, P1-05, P1-06, P1-07, P1-08",11,Market Data Semantics Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,high,engines/nautilus/runtime_v1/market_data_loader.py; tests/p1_nautilus/test_market_data_loader.py; tests/p1_nautilus/test_market_data_native.py,"Golden native conversion asserts exact object order, IDs, price/size text, and nanosecond timestamps.; Look-ahead tests fail when quote time follows decision/bar time or `ts_init` uses bar open.; Mutation tests change one row and prove both row digest and semantic run digest change.; Upgrade-specific: Add exact timestamp/order tests covering the 1.231 data-path behavior and the upstream shutdown/on_stop ordering clarification; quote-before-bar remains a project invariant.",feat(p1): load deterministic Nautilus market data
P1-10,M2 — Isolated runtime,Implement the long/flat target planner,"P1-03, P1-05, P1-06, P1-08, P1-09",11,Execution Planning Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/target_planner.py; tests/p1_nautilus/test_target_planner.py,"Table tests cover zero→long, long→larger, long→smaller, long→flat, already-at-target, insufficient cash, fee reserve, min notional, step rounding, and precision limits.; Property tests prove planned long quantity never exceeds the target notional or available cash.; Negative weight/short and cross-instrument plans fail with stable codes.; Upgrade-specific: Reject zero/negative leverage and any candidate configuration that depends on v1.231's improved validation rather than enforcing the stricter project contract first.",feat(p1): plan long-flat target quantities
P1-11,M2 — Isolated runtime,Implement the target-driven Nautilus strategy state machine,"P1-08, P1-09, P1-10",12,Nautilus Strategy Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/target_strategy.py; tests/p1_nautilus/test_target_strategy_source.py; tests/p1_nautilus/test_target_strategy_native.py,"Source tests reject forbidden imports and multiple direct output channels.; Native tests prove real order submission/fill for zero→long and long→flat.; Duplicate bar/target callbacks do not duplicate orders.; Rejection or inconsistent callback order puts the strategy in failed state and prevents completion.; Upgrade-specific: Characterize and test pre-stop fills, `on_stop` ordering and pending-order state so the strategy never creates a false terminal event around engine shutdown.",feat(p1): execute canonical targets in Nautilus
P1-12,M2 — Isolated runtime,Assemble and run the real BacktestEngine session,"P1-07, P1-08, P1-09, P1-10, P1-11",12,Backtest Runtime Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/session.py; engines/nautilus/runtime_v1/backtest_runner.py; tests/p1_nautilus/test_backtest_runner_native.py,"Native session test asserts that module/class identities come from the sealed v1.231.0 wheel.; Run produces real order, fill, position, cash, fee and engine result evidence.; Injected engine exception, strategy rejection, and dispose failure remain non-success; cleanup failure is attached without hiding the primary failure.; Upgrade-specific: Instantiate `BacktestEngineConfig` with explicit `load_state=False`, `save_state=False`, `run_analysis=False` and logging bypass. Do not branch on `shutdown_on_error`; root/launcher failure handling remains authoritative. Add reset/dispose/re-registration tests derived from P1-U06: no duplicate account state, no generated-ID collision, no stale FX or simulated-venue state between sessions.",feat(p1): run production-shaped Nautilus backtest session
P1-13,M2 — Isolated runtime,Project native callbacks and observations into canonical EngineEvent JSONL,"P1-04, P1-05, P1-11, P1-12",12,Native Event Projection Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/event_collector.py; engines/nautilus/runtime_v1/event_projector.py; engines/nautilus/runtime_v1/jsonl_writer.py; tests/p1_nautilus/test_event_projector.py; tests/p1_nautilus/test_event_stream_native.py,"Three runs with different request IDs/times produce different raw batch hashes but the same semantic digest.; One changed quote, target, fee, fill quantity, or event order changes semantic digest.; Sequence, causation, payload digest and canonical bytes validate with root contracts.; Partial writer/error injection yields no accepted completion stream.; Upgrade-specific: Project raw native facts without duplicating corrected post-run realized PnL. Callback facts and post-run observations must remain distinguishable and deduplicated by explicit business identity.",feat(p1): emit canonical Nautilus event stream
P1-14,M2 — Isolated runtime,Finalize run consistency checks and stable failure diagnostics,"P1-12, P1-13",12,Runtime Reliability Engineer,gpt-5.6-sol,high,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,engines/nautilus/runtime_v1/final_state.py; engines/nautilus/runtime_v1/errors.py; engines/nautilus/runtime_v1/main.py; tests/p1_nautilus/test_final_state.py; tests/p1_nautilus/test_runtime_fail_closed.py,"Fault injection mutates cache counters, fees, final quantity, event count, or terminal strategy state and proves completion is withheld.; Diagnostics snapshot tests enforce stable code and bounded message.; `main` emits exactly the prevalidated stream plus newline on success and no stdout on pre-output failure.; Upgrade-specific: Every terminal diagnostic and evidence record must include exact v1.231 release/closure lineage; a v1.227 result under the active profile is a stable provenance error.",feat(p1): prove Nautilus final-state consistency
P1-15,M3 — Closure and worker,Centralize engine profile policy and admit the P1 closure manifest,"P1-02, P1-06, P1-14",13,Runtime Authority Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,services/job_worker/engine_profiles.py; services/job_worker/engine_spawn.py; services/job_worker/nautilus_closure.py; engines/nautilus/native_entry_guard/src/main.rs; engines/nautilus/*policy*.json; tests/job_worker/test_engine_profiles.py; tests/job_worker/test_engine_spawn.py; tests/job_worker/test_nautilus_closure.py; tests/native/test_nautilus_entry_guard.py,"All previous closure/profile tests pass unchanged.; Seeded argv variations, additional flags, alternative entrypoint, profile substitution, validator substitution, manifest downgrade/upgrade, or protocol mismatch fail.; Profile policy has exactly one definition per string and source checker rejects duplicates.; Native guard binary tests prove exact handoff.; Upgrade-specific: Use closure manifest schema 8 for the P1 real-backtest/paper product profiles and runtime family `cython-v1`. Preserve schema 7 only for the named promoted baseline/qualification profiles and schema 6 only for the named rollback verifier; no profile may accept multiple generations.",feat(p1): attest real Nautilus backtest profile
P1-16,M3 — Closure and worker,"Materialize, build, and qualify the P1 sealed runtime closure",P1-15,13,Build and Supply-Chain Engineer,gpt-5.6-sol,high,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,scripts/materialize_nautilus_runtime_closure.py; scripts/build_nautilus_engine.py; scripts/qualify_nautilus_sealed_imports.py; engines/nautilus/runtime-closure-policy.json; Makefile; tests/nautilus_backtest/test_sealed_import_qualification.py; tests/p1_nautilus/test_p1_closure_qualification.py,"Tamper every class of closure file, manifest field, mode, path, digest, wheel, interpreter, native guard, or policy and prove attestation fails.; Successful native smoke emits a valid minimal P1 event stream from a tiny hash-bound fixture.; Source-only CI defers native qualification when authority is absent; it never reports PASS.; Upgrade-specific: Reuse the accepted P1-U04 candidate rather than rebuilding from ambient inputs. Rebuild only through the approved source/toolchain caches and compare against the promoted closure digest.",build(p1): materialize sealed Nautilus runtime v1
P1-17,M3 — Closure and worker,Add the dedicated multi-event worker result validator,"P1-04, P1-14, P1-15",14,Worker Boundary Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,packages/nautilus_runtime/result.py; services/job_worker/engine_results.py; tests/nautilus_runtime/test_result.py; tests/job_worker/test_engine_results_p1.py,"Negative matrix covers truncated line, noncanonical JSON, duplicate IDs, sequence gap, wrong causation/run/config/source, extra event after completion, wrong counters, wrong final cash/position/fees, and semantic mismatch.; Existing validator tests remain green.; Validated bytes sealed by the worker equal the exact stdout bytes.; Upgrade-specific: Validator metadata must bind v1.231 engine version, upstream commit, runtime family and exact schema-8 P1 product closure digest in addition to request/event authority.",feat(p1): validate full Nautilus event batches
P1-18,M3 — Closure and worker,"Compose P1 authority, artifact resolver, and worker dependencies","P1-03, P1-15, P1-16, P1-17",14,Application Integration Engineer,gpt-5.6-sol,high,gpt-5.6-sol,high,gpt-5.6-sol,xhigh,services/job_worker/main.py; services/job_worker/engine_authority.py only if characterization demands a no-semantic-change extension; services/job_worker/engine_artifacts.py; apps/job_api/config.py or deployment composition modules; tests/job_worker/test_p1_composition.py; tests/job_api/test_engine_backtest_submission.py,"Composition fails when any one engine component is absent, wrong profile closure is supplied, artifact binding is missing, or API payload attempts to select executable/profile.; Claim derives the exact expected `RunBacktest` envelope.; Legacy backtest and snapshot routing remain unchanged.",feat(p1): compose real Nautilus worker authority
P1-19,M4 — Persistence and accounting,Complete durable event-ledger ingestion for the P1 stream,"P1-17, P1-18",15,Ledger Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,packages/engine_event_ledger/** only where generic capability is missing; services/job_store/** repository adapter as required; tests/engine_event_ledger/test_p1_stream_ingestion.py; tests/job_worker/test_p1_event_ingestion.py,"Crash/fault injection before append, during append, after append before receipt, and after receipt before job finalization.; Same batch retry is idempotent; changed batch conflicts.; Stored canonical bytes revalidate and replay with no gaps.",feat(p1): persist Nautilus event stream atomically
P1-20,M4 — Persistence and accounting,Project engine events into canonical portfolio accounting entries,P1-04,15,Domain Projection Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,packages/engine_portfolio_projection/__init__.py; packages/engine_portfolio_projection/models.py; packages/engine_portfolio_projection/projector.py; packages/engine_portfolio_projection/validation.py; tests/engine_portfolio_projection/**,Golden zero→long→flat stream projects exact opening/fill/mark entries.; Duplicate/correction/bust policy is explicit; unsupported correction/bust fails rather than silently applies.; Projection is deterministic across raw run-custody identity changes when business facts are equivalent.,feat(p1): project Nautilus events to portfolio entries
P1-21,M4 — Persistence and accounting,Prove portfolio-reducer parity with the Nautilus final state,"P1-19, P1-20",16,Accounting Verification Engineer,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,packages/engine_portfolio_projection/parity.py; tests/portfolio_reducer/test_nautilus_p1_parity.py; tests/portfolio_reducer/fixtures/p1_nautilus/**,"Long entry, hold, flatten, fee-only, and partial-fill fixtures.; Mutate one fill, fee, price, side, sequence, or opening balance and prove parity fails.; Snapshot restart and full replay produce identical canonical state JSON/hash.; Upgrade-specific: Include NETTING close/reopen and no-duplicate-realized-PnL regression fixtures from P1-U06 so parity remains valid across the upstream fixes.",test(p1): prove Nautilus portfolio parity
P1-22,M5 — Vertical slice,Build the end-to-end BTCUSDT real backtest vertical slice,"P1-16, P1-17, P1-18, P1-19, P1-20, P1-21",16,Vertical Slice Integrator,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,gpt-5.6-sol,xhigh,tests/p1_nautilus/test_vertical_slice_e2e.py; tests/fixtures/p1_nautilus/e2e/**; scripts/run_p1_nautilus_vertical_slice.py; Makefile; docs/implementation/p1-real-nautilus/e2e-evidence.md,"Expected lifecycle includes at least a real submitted order and fill for entry and flatten, terminal zero position, starting cash minus fees/PnL, and exact reducer parity.; Run with missing native authority is `DEFERRED`, not PASS.; Run with malformed input or runtime failure is BLOCKED/FAILED per stable reason, never SUCCEEDED.",test(p1): certify real Nautilus vertical slice
